N	D	1	2	3	4	5	6	7	8	9	10
122	1	15	15	15	13	9	11	13	12	8	9
151	1	20	20	16	16	14	14	14	14	11	10
153	1	18	19	16	18	12	14	16	14	12	12
209	1	19	19	18	18	12	13	14	16	11	11
224	1	19	20	17	16	13	14	16	14	10	10
266	1	17	17	15	14	11	12	12	12	8	8
299	1	19	18	16	18	12	12	14	16	10	12
403	1	20	20	17	16	12	13	16	14	12	10
122	2	15.5	15.5	15.5	13.5	9.5	11.5	13.5	12.5	8.5	9.5
151	2	20.5	20.5	16.5	16.5	14.5	14.5	14.5	14.5	11.5	10.5
153	2	18.5	19.5	16.5	18.5	12.5	14.5	16.5	14.5	12.5	12.5
209	2	19.5	19.5	18.5	18.5	12.5	13.5	14.5	16.5	11.5	11.5
224	2	19.5	20.5	17.5	16.5	13.5	14.5	16.5	14.5	10.5	10.5
266	2	17.5	17.5	15.5	14.5	11.5	12.5	12.5	12.5	8.5	8.5
299	2	19.5	18.5	16.5	18.5	12.5	12.5	14.5	16.5	10.5	12.5
403	2	20.5	20.5	17.5	16.5	12.5	13.5	16.5	14.5	12.5	10.5
122	3	16	16	16	14	10	12	14	13	9	10
151	3	21	21	17	17	15	15	15	15	12	11
153	3	19	20	17	19	13	15	17	15	13	13
209	3	20	20	19	19	13	14	15	17	12	12
224	3	20	21	18	17	14	15	17	15	11	11
266	3	18	18	16	15	12	13	13	13	9	9
299	3	20	19	17	19	13	13	15	17	11	13
403	3	21	21	18	17	13	14	17	15	13	11
122	4	16.5	16.5	16.5	14.5	10.5	12.5	14.5	13.5	9.5	10.5
151	4	21.5	21.5	17.5	17.5	15.5	15.5	15.5	15.5	12.5	11.5
153	4	19.5	20.5	17.5	19.5	13.5	15.5	17.5	15.5	13.5	13.5
209	4	20.5	20.5	19.5	19.5	13.5	14.5	15.5	17.5	12.5	12.5
224	4	20.5	21.5	18.5	17.5	14.5	15.5	17.5	15.5	11.5	11.5
266	4	18.5	18.5	16.5	15.5	12.5	13.5	13.5	13.5	9.5	9.5
299	4	20.5	19.5	17.5	19.5	13.5	13.5	15.5	17.5	11.5	13.5
403	4	21.5	21.5	18.5	17.5	13.5	14.5	17.5	15.5	13.5	11.5
122	5	19	20	18	17	12	12	15	15	11	11
151	5	20	19	18	16	13	12	15	16	12	11
153	5	18	20	18	18	13	13	16	14	10	12
209	5	18	20	18	16	13	13	15	14	10	11
224	5	18	18	17	18	14	14	15	14	10	12
266	5	16	16	16	15	12	11	12	14	10	9
299	5	19	19	16	18	13	14	16	16	10	12
403	5	18	18	16	18	14	13	16	15	12	12
122	6	19.5	20.5	18.5	17.5	12.5	12.5	15.5	15.5	11.5	11.5
151	6	20.5	19.5	18.5	16.5	13.5	12.5	15.5	16.5	12.5	11.5
153	6	18.5	20.5	18.5	18.5	13.5	13.5	16.5	14.5	10.5	12.5
209	6	18.5	20.5	18.5	16.5	13.5	13.5	15.5	14.5	10.5	11.5
224	6	18.5	18.5	17.5	18.5	14.5	14.5	15.5	14.5	10.5	12.5
266	6	16.5	16.5	16.5	15.5	12.5	11.5	12.5	14.5	10.5	9.5
299	6	19.5	19.5	16.5	18.5	13.5	14.5	16.5	16.5	10.5	12.5
403	6	18.5	18.5	16.5	18.5	14.5	13.5	16.5	15.5	12.5	12.5
122	7	20	21	19	18	13	13	16	16	12	12
151	7	21	20	19	17	14	13	16	17	13	12
153	7	19	21	19	19	14	14	17	15	11	13
209	7	19	21	19	17	14	14	16	15	11	12
224	7	19	19	18	19	15	15	16	15	11	13
266	7	17	17	17	16	13	12	13	15	11	10
299	7	20	20	17	19	14	15	17	17	11	13
403	7	19	19	17	19	15	14	17	16	13	13
122	8	20.5	21.5	19.5	18.5	13.5	13.5	16.5	16.5	12.5	12.5
151	8	21.5	20.5	19.5	17.5	14.5	13.5	16.5	17.5	13.5	12.5
153	8	19.5	21.5	19.5	19.5	14.5	14.5	17.5	15.5	11.5	13.5
209	8	19.5	21.5	19.5	17.5	14.5	14.5	16.5	15.5	11.5	12.5
224	8	19.5	19.5	18.5	19.5	15.5	15.5	16.5	15.5	11.5	13.5
266	8	17.5	17.5	17.5	16.5	13.5	12.5	13.5	15.5	11.5	10.5
299	8	20.5	20.5	17.5	19.5	14.5	15.5	17.5	17.5	11.5	13.5
403	8	19.5	19.5	17.5	19.5	15.5	14.5	17.5	16.5	13.5	13.5
0	1	0	0	0	0	0	0	0	0	0	0
0	2	0	0	0	0	0	0	0	0	0	0
0	3	0	0	0	0	0	0	0	0	0	0
0	4	0	0	0	0	0	0	0	0	0	0
0	5	0	0	0	0	0	0	0	0	0	0
0	6	0	0	0	0	0	0	0	0	0	0
0	7	0	0	0	0	0	0	0	0	0	0
0	8	0	0	0	0	0	0	0	0	0	0
1838	1	0	0	0	0	0	0	0	0	0	0
1838	2	0	0	0	0	0	0	0	0	0	0
1838	3	0	0	0	0	0	0	0	0	0	0
1838	4	0	0	0	0	0	0	0	0	0	0
1838	5	0	0	0	0	0	0	0	0	0	0
1838	6	0	0	0	0	0	0	0	0	0	0
1838	7	0	0	0	0	0	0	0	0	0	0
1838	8	0	0	0	0	0	0	0	0	0	0
