N	D	1	2	3	4	5	6	7	8	9	10
196	1	0	0	0	0	0	0	0	0	0	0
197	1	16	16	15	13	10	9	12	11	9	8
199	1	24	24	21	20	16	18	20	20	16	16
202	1	15	13	13	11	8	9	10	10	6	7
203	1	13	13	12	11	8	9	9	10	7	5
216	1	16	17	15	13	9	9	13	13	7	8
218	1	16	17	15	13	10	10	11	11	8	7
225	1	15	16	15	14	9	10	11	12	7	7
234	1	15	17	15	14	10	10	11	12	8	8
246	1	14	15	13	11	7	9	11	11	5	6
271	1	24	23	21	21	17	18	18	20	16	14
276	1	17	15	13	15	9	11	12	11	9	8
283	1	15	13	11	12	8	7	10	11	5	6
289	1	17	17	14	14	10	10	12	11	7	9
290	1	17	17	13	15	9	11	13	12	8	8
297	1	16	17	14	13	11	11	13	11	9	9
298	1	15	16	14	13	11	9	13	13	7	8
308	1	17	16	14	14	10	9	13	13	8	7
311	1	16	15	14	14	11	10	13	11	9	9
334	1	17	17	14	15	10	9	12	11	7	8
353	1	15	17	14	15	11	9	13	12	7	7
358	1	17	17	13	14	9	11	12	11	9	7
359	1	17	15	15	15	10	9	12	11	8	7
367	1	16	17	15	14	11	10	11	13	8	8
381	1	16	16	13	15	9	11	13	11	9	7
386	1	16	15	15	13	10	10	12	13	7	9
389	1	16	16	14	13	9	11	12	12	7	8
396	1	16	17	13	13	11	11	11	11	9	8
404	1	17	16	15	15	11	11	12	13	8	8
411	1	15	17	15	15	10	11	13	11	7	7
412	1	17	16	14	14	10	9	11	11	7	8
434	1	17	16	14	15	11	10	11	13	7	7
442	1	17	15	14	15	9	9	12	13	8	9
443	1	15	17	13	14	11	9	13	13	8	8
462	1	22	23	21	20	16	17	20	20	14	15
473	1	16	17	15	14	9	10	13	13	9	7
475	1	15	17	15	15	10	9	12	11	9	8
479	1	17	15	14	13	11	9	13	11	7	8
480	1	23	22	20	20	16	16	19	20	14	14
487	1	17	15	15	15	11	9	12	12	9	9
505	1	15	16	14	13	11	9	11	12	9	9
506	1	16	17	15	14	9	10	12	13	8	9
514	1	16	15	14	13	11	9	13	12	8	8
516	1	17	15	14	13	9	11	12	12	7	7
534	1	17	15	14	13	10	9	13	12	9	9
544	1	17	17	13	15	9	11	12	13	7	9
546	1	17	16	13	15	10	9	12	11	7	8
551	1	37	37	34	34	30	31	32	32	30	30
