N	D	1	2	3	4	5	6	7	8	9	10
122	1	15	15	15	13	9	11	13	12	8	9
151	1	20	20	16	16	14	14	14	14	11	10
153	1	18	19	16	18	12	14	16	14	12	12
209	1	19	19	18	18	12	13	14	16	11	11
224	1	19	20	17	16	13	14	16	14	10	10
266	1	17	17	15	14	11	12	12	12	8	8
299	1	19	18	16	18	12	12	14	16	10	12
403	1	20	20	17	16	12	13	16	14	12	10
436	1	18	20	18	16	12	14	15	14	12	10
463	1	18	20	18	16	12	14	15	14	12	10
511	1	19	20	16	18	14	12	14	15	10	12
737	1	20	18	17	17	12	12	15	15	12	11
809	1	19	19	16	16	13	14	14	16	12	12
900	1	20	20	17	18	12	12	15	14	11	12
931	1	18	19	17	17	14	14	16	14	12	12
947	1	20	19	18	18	13	14	14	16	11	11
1010	1	18	19	17	18	12	14	14	14	10	10
1026	1	18	18	17	16	13	12	16	15	11	10
1188	1	18	20	18	17	13	13	14	15	12	12
1191	1	19	19	16	17	13	12	16	14	10	10
1201	1	20	18	18	16	14	13	16	16	11	11
1227	1	19	20	18	18	14	12	15	15	11	10
1306	1	20	18	18	16	13	14	15	14	11	10
1353	1	20	20	17	16	12	12	15	15	10	10
1383	1	18	18	17	17	13	12	14	14	12	11
1550	1	19	19	16	17	13	12	15	14	10	11
1651	1	20	20	17	18	13	13	16	15	12	11
1698	1	20	20	18	16	13	12	16	16	11	12
1700	1	19	19	18	17	13	13	16	16	10	11
122	2	15.5	15.5	15.5	13.5	9.5	11.5	13.5	12.5	8.5	9.5
151	2	20.5	20.5	16.5	16.5	14.5	14.5	14.5	14.5	11.5	10.5
153	2	18.5	19.5	16.5	18.5	12.5	14.5	16.5	14.5	12.5	12.5
209	2	19.5	19.5	18.5	18.5	12.5	13.5	14.5	16.5	11.5	11.5
224	2	19.5	20.5	17.5	16.5	13.5	14.5	16.5	14.5	10.5	10.5
266	2	17.5	17.5	15.5	14.5	11.5	12.5	12.5	12.5	8.5	8.5
299	2	19.5	18.5	16.5	18.5	12.5	12.5	14.5	16.5	10.5	12.5
403	2	20.5	20.5	17.5	16.5	12.5	13.5	16.5	14.5	12.5	10.5
436	2	18.5	20.5	18.5	16.5	12.5	14.5	15.5	14.5	12.5	10.5
463	2	18.5	20.5	18.5	16.5	12.5	14.5	15.5	14.5	12.5	10.5
511	2	19.5	20.5	16.5	18.5	14.5	12.5	14.5	15.5	10.5	12.5
737	2	20.5	18.5	17.5	17.5	12.5	12.5	15.5	15.5	12.5	11.5
809	2	19.5	19.5	16.5	16.5	13.5	14.5	14.5	16.5	12.5	12.5
900	2	20.5	20.5	17.5	18.5	12.5	12.5	15.5	14.5	11.5	12.5
931	2	18.5	19.5	17.5	17.5	14.5	14.5	16.5	14.5	12.5	12.5
947	2	20.5	19.5	18.5	18.5	13.5	14.5	14.5	16.5	11.5	11.5
1010	2	18.5	19.5	17.5	18.5	12.5	14.5	14.5	14.5	10.5	10.5
1026	2	18.5	18.5	17.5	16.5	13.5	12.5	16.5	15.5	11.5	10.5
1188	2	18.5	20.5	18.5	17.5	13.5	13.5	14.5	15.5	12.5	12.5
1191	2	19.5	19.5	16.5	17.5	13.5	12.5	16.5	14.5	10.5	10.5
1201	2	20.5	18.5	18.5	16.5	14.5	13.5	16.5	16.5	11.5	11.5
1227	2	19.5	20.5	18.5	18.5	14.5	12.5	15.5	15.5	11.5	10.5
1306	2	20.5	18.5	18.5	16.5	13.5	14.5	15.5	14.5	11.5	10.5
1353	2	20.5	20.5	17.5	16.5	12.5	12.5	15.5	15.5	10.5	10.5
1383	2	18.5	18.5	17.5	17.5	13.5	12.5	14.5	14.5	12.5	11.5
1550	2	19.5	19.5	16.5	17.5	13.5	12.5	15.5	14.5	10.5	11.5
1651	2	20.5	20.5	17.5	18.5	13.5	13.5	16.5	15.5	12.5	11.5
1698	2	20.5	20.5	18.5	16.5	13.5	12.5	16.5	16.5	11.5	12.5
1700	2	19.5	19.5	18.5	17.5	13.5	13.5	16.5	16.5	10.5	11.5
122	3	16	16	16	14	10	12	14	13	9	10
151	3	21	21	17	17	15	15	15	15	12	11
153	3	19	20	17	19	13	15	17	15	13	13
209	3	20	20	19	19	13	14	15	17	12	12
224	3	20	21	18	17	14	15	17	15	11	11
266	3	18	18	16	15	12	13	13	13	9	9
299	3	20	19	17	19	13	13	15	17	11	13
403	3	21	21	18	17	13	14	17	15	13	11
436	3	19	21	19	17	13	15	16	15	13	11
463	3	19	21	19	17	13	15	16	15	13	11
511	3	20	21	17	19	15	13	15	16	11	13
737	3	21	19	18	18	13	13	16	16	13	12
809	3	20	20	17	17	14	15	15	17	13	13
900	3	21	21	18	19	13	13	16	15	12	13
931	3	19	20	18	18	15	15	17	15	13	13
947	3	21	20	19	19	14	15	15	17	12	12
1010	3	19	20	18	19	13	15	15	15	11	11
1026	3	19	19	18	17	14	13	17	16	12	11
1188	3	19	21	19	18	14	14	15	16	13	13
1191	3	20	20	17	18	14	13	17	15	11	11
1201	3	21	19	19	17	15	14	17	17	12	12
1227	3	20	21	19	19	15	13	16	16	12	11
1306	3	21	19	19	17	14	15	16	15	12	11
1353	3	21	21	18	17	13	13	16	16	11	11
1383	3	19	19	18	18	14	13	15	15	13	12
1550	3	20	20	17	18	14	13	16	15	11	12
1651	3	21	21	18	19	14	14	17	16	13	12
1698	3	21	21	19	17	14	13	17	17	12	13
1700	3	20	20	19	18	14	14	17	17	11	12
122	4	16.5	16.5	16.5	14.5	10.5	12.5	14.5	13.5	9.5	10.5
151	4	21.5	21.5	17.5	17.5	15.5	15.5	15.5	15.5	12.5	11.5
153	4	19.5	20.5	17.5	19.5	13.5	15.5	17.5	15.5	13.5	13.5
209	4	20.5	20.5	19.5	19.5	13.5	14.5	15.5	17.5	12.5	12.5
224	4	20.5	21.5	18.5	17.5	14.5	15.5	17.5	15.5	11.5	11.5
266	4	18.5	18.5	16.5	15.5	12.5	13.5	13.5	13.5	9.5	9.5
299	4	20.5	19.5	17.5	19.5	13.5	13.5	15.5	17.5	11.5	13.5
403	4	21.5	21.5	18.5	17.5	13.5	14.5	17.5	15.5	13.5	11.5
436	4	19.5	21.5	19.5	17.5	13.5	15.5	16.5	15.5	13.5	11.5
463	4	19.5	21.5	19.5	17.5	13.5	15.5	16.5	15.5	13.5	11.5
511	4	20.5	21.5	17.5	19.5	15.5	13.5	15.5	16.5	11.5	13.5
737	4	21.5	19.5	18.5	18.5	13.5	13.5	16.5	16.5	13.5	12.5
809	4	20.5	20.5	17.5	17.5	14.5	15.5	15.5	17.5	13.5	13.5
900	4	21.5	21.5	18.5	19.5	13.5	13.5	16.5	15.5	12.5	13.5
931	4	19.5	20.5	18.5	18.5	15.5	15.5	17.5	15.5	13.5	13.5
947	4	21.5	20.5	19.5	19.5	14.5	15.5	15.5	17.5	12.5	12.5
1010	4	19.5	20.5	18.5	19.5	13.5	15.5	15.5	15.5	11.5	11.5
1026	4	19.5	19.5	18.5	17.5	14.5	13.5	17.5	16.5	12.5	11.5
1188	4	19.5	21.5	19.5	18.5	14.5	14.5	15.5	16.5	13.5	13.5
1191	4	20.5	20.5	17.5	18.5	14.5	13.5	17.5	15.5	11.5	11.5
1201	4	21.5	19.5	19.5	17.5	15.5	14.5	17.5	17.5	12.5	12.5
1227	4	20.5	21.5	19.5	19.5	15.5	13.5	16.5	16.5	12.5	11.5
1306	4	21.5	19.5	19.5	17.5	14.5	15.5	16.5	15.5	12.5	11.5
1353	4	21.5	21.5	18.5	17.5	13.5	13.5	16.5	16.5	11.5	11.5
1383	4	19.5	19.5	18.5	18.5	14.5	13.5	15.5	15.5	13.5	12.5
1550	4	20.5	20.5	17.5	18.5	14.5	13.5	16.5	15.5	11.5	12.5
1651	4	21.5	21.5	18.5	19.5	14.5	14.5	17.5	16.5	13.5	12.5
