N	q	DEPTOS
109	1	0
114	1	1
119	1	1
135	1	0
166	1	1
179	1	1
183	2	0
193	1	0
221	1	0
226	1	1
234	1	1
240	3	3
249	1	0
272	1	0
281	1	1
285	1	1
297	1	1
301	1	1
308	1	1
319	2	2
324	1	0
326	1	1
340	1	1
343	1	1
346	1	1
360	2	2
361	1	1
364	1	1
415	1	1
418	1	1
463	1	1
483	1	1
485	1	1
486	1	1
495	1	1
518	3	3
554	1	1
561	1	1
575	1	1
576	1	1
582	1	1
588	1	1
596	1	1
599	1	1
605	1	1
620	1	1
644	1	1
675	1	1
688	1	1
701	1	1
730	1	0
752	1	1
756	1	1
781	1	1
836	1	1
842	1	1
861	1	1
862	1	1
875	1	1
926	1	1
935	1	1
936	1	1
945	1	1
966	1	1
973	1	1
976	1	1
980	1	1
1032	1	1
1060	1	1
1083	1	1
1159	1	1
1163	1	1
1169	1	1
1192	1	1
1200	1	1
1207	1	1
1233	1	1
1243	1	1
1244	1	1
1253	1	1
1272	1	1
1284	1	1
1344	1	1
1365	1	1
1378	1	1
1390	1	1
1391	2	2
1415	1	1
1431	1	1
1480	1	1
1495	1	1
1511	1	1
1525	1	1
1533	1	1
1555	1	1
1565	1	1
1570	1	1
1594	1	1
1601	1	1
1607	1	1
1615	1	1
1634	1	1
1644	1	1
1668	1	1
1715	1	1
1733	2	2
1734	1	1
1765	1	1
1785	1	1
1822	1	1
1838	0	0
0	0	0
