N	D	1	2	3	4	5	6	7	8	9	10
109	1	13	14	12	13	8	7	11	10	6	5
114	1	16	17	14	15	10	10	13	13	8	9
119	1	17	16	15	13	9	11	13	13	9	8
135	1	15	13	12	13	8	9	10	9	5	6
166	1	16	17	13	13	9	9	11	13	7	9
179	1	17	15	14	14	10	11	12	11	9	8
183	1	19	20	17	17	13	12	15	16	11	10
193	1	14	14	11	12	9	7	9	9	7	7
221	1	14	15	11	13	7	7	10	9	7	7
226	1	16	16	13	14	10	11	13	11	9	9
234	1	17	17	14	13	10	10	11	13	7	9
240	1	29	30	28	28	23	25	27	27	22	21
249	1	13	13	12	12	8	9	9	11	7	7
272	1	15	14	11	13	7	9	9	9	5	5
281	1	17	15	14	14	11	10	12	11	8	7
285	1	15	16	14	14	11	11	12	13	7	8
297	1	17	17	15	13	10	11	11	11	8	8
301	1	17	15	14	14	11	10	13	11	7	9
308	1	16	16	13	14	11	11	11	12	9	8
319	1	24	22	21	21	18	17	20	20	15	14
324	1	15	15	11	13	7	9	10	10	6	5
326	1	17	17	15	14	9	10	13	12	7	7
340	1	17	16	15	13	9	11	11	12	8	8
343	1	15	16	14	13	10	11	13	11	7	9
346	1	17	16	15	14	11	10	13	11	8	7
360	1	23	23	21	21	16	18	20	18	15	15
361	1	15	15	13	13	11	10	13	11	7	9
364	1	16	16	13	15	9	9	11	11	8	7
415	1	17	17	14	14	9	11	12	12	8	9
418	1	17	16	14	14	9	11	12	12	7	9
463	1	15	16	14	13	10	11	12	13	8	7
483	1	15	16	14	14	10	10	13	11	9	8
485	1	15	17	14	13	11	11	11	11	8	9
486	1	17	15	13	15	9	9	12	12	9	7
495	1	17	16	15	14	9	10	12	12	8	8
518	1	29	31	29	27	24	25	25	25	23	22
554	1	16	15	13	14	9	11	13	12	7	9
561	1	17	15	13	13	9	9	12	11	7	7
575	1	16	15	13	14	10	10	13	12	9	8
576	1	17	16	15	13	9	10	11	13	7	9
582	1	16	16	14	13	10	10	13	11	9	7
588	1	15	17	13	14	9	10	12	11	8	8
596	1	17	15	14	14	10	11	13	11	9	9
599	1	15	15	13	13	10	10	11	11	9	9
605	1	16	15	13	14	9	10	11	13	8	9
620	1	16	17	14	14	9	11	13	12	9	9
644	1	16	17	14	14	9	11	13	12	9	9
675	1	17	15	13	13	10	11	11	12	9	7
688	1	17	17	13	14	11	11	12	12	8	8
701	1	17	16	15	13	10	10	12	12	8	7
730	1	13	13	13	13	7	7	11	11	7	7
752	1	15	16	13	13	10	9	12	12	8	8
756	1	16	16	14	15	9	9	13	12	8	9
781	1	15	17	14	15	9	11	11	11	9	8
836	1	17	16	15	15	10	10	11	11	9	7
842	1	15	15	15	14	10	10	11	12	9	9
861	1	15	16	14	14	9	11	13	11	9	7
862	1	15	16	13	13	9	9	11	12	8	7
875	1	16	17	13	15	9	11	11	11	9	8
926	1	17	15	14	14	11	9	12	12	9	9
935	1	15	16	13	15	9	9	13	11	8	8
936	1	15	17	15	15	9	10	12	13	8	9
945	1	16	16	14	14	11	11	12	12	7	9
966	1	17	17	13	13	9	10	11	13	9	9
973	1	16	15	13	13	11	11	12	11	9	7
976	1	17	15	13	15	9	10	12	11	8	8
980	1	15	16	15	14	9	9	12	12	9	8
1032	1	17	16	15	14	9	11	13	11	7	8
1060	1	16	17	15	13	9	10	11	12	8	7
1083	1	16	15	13	13	9	10	13	11	7	7
1159	1	15	17	13	14	11	11	13	13	7	9
1163	1	16	17	15	15	11	10	11	12	8	8
1169	1	17	16	14	15	10	10	12	12	7	7
1192	1	16	16	14	15	10	9	13	13	9	7
1200	1	16	15	14	13	10	11	13	11	9	9
1207	1	16	15	14	15	10	9	12	13	9	9
1233	1	15	15	13	15	11	9	12	13	7	8
1243	1	17	17	13	13	11	11	12	13	8	9
1244	1	17	15	14	14	11	11	12	13	8	7
1253	1	15	17	13	13	10	10	12	12	8	7
1272	1	17	15	14	15	10	10	13	13	8	9
1284	1	17	16	15	15	11	11	11	13	8	8
1344	1	16	16	13	13	9	9	13	13	9	7
1365	1	17	15	15	14	10	11	13	12	8	7
1378	1	16	17	13	13	9	9	13	13	8	7
1390	1	15	15	13	13	10	11	12	13	8	8
1391	1	24	23	20	20	17	18	18	20	16	15
1415	1	15	15	15	14	9	11	13	12	7	9
1431	1	15	17	14	14	9	11	13	11	7	9
1480	1	16	16	14	14	9	11	11	13	7	8
1495	1	16	15	14	14	10	10	11	12	9	8
1511	1	17	17	13	14	11	9	13	12	9	7
1525	1	16	15	14	15	10	11	13	13	8	8
1533	1	16	15	13	15	10	9	13	11	9	7
1555	1	16	17	15	15	10	11	11	13	9	8
1565	1	16	17	13	13	9	11	11	13	9	8
1570	1	16	15	15	13	9	9	12	13	8	7
1594	1	15	15	15	15	9	11	11	12	9	7
1601	1	15	16	15	15	11	11	11	13	7	8
1607	1	17	17	13	13	9	9	11	11	7	8
1615	1	15	15	15	15	11	9	12	11	9	8
1634	1	15	15	15	13	10	11	11	11	9	9
1644	1	17	16	14	14	11	10	12	12	9	7
1668	1	17	16	13	15	10	10	11	13	8	7
1715	1	15	17	13	14	10	11	13	12	9	9
1733	1	22	23	20	21	18	16	18	20	14	16
1734	1	17	16	13	15	9	10	13	12	8	7
1765	1	16	15	13	14	9	11	12	11	8	9
1785	1	16	15	13	14	9	11	11	13	9	9
1822	1	17	15	13	15	9	9	13	11	8	8
109	2	13.5	14.5	12.5	13.5	8.5	7.5	11.5	10.5	6.5	5.5
114	2	16.5	17.5	14.5	15.5	10.5	10.5	13.5	13.5	8.5	9.5
119	2	17.5	16.5	15.5	13.5	9.5	11.5	13.5	13.5	9.5	8.5
135	2	15.5	13.5	12.5	13.5	8.5	9.5	10.5	9.5	5.5	6.5
166	2	16.5	17.5	13.5	13.5	9.5	9.5	11.5	13.5	7.5	9.5
179	2	17.5	15.5	14.5	14.5	10.5	11.5	12.5	11.5	9.5	8.5
183	2	19.5	20.5	17.5	17.5	13.5	12.5	15.5	16.5	11.5	10.5
193	2	14.5	14.5	11.5	12.5	9.5	7.5	9.5	9.5	7.5	7.5
221	2	14.5	15.5	11.5	13.5	7.5	7.5	10.5	9.5	7.5	7.5
226	2	16.5	16.5	13.5	14.5	10.5	11.5	13.5	11.5	9.5	9.5
234	2	17.5	17.5	14.5	13.5	10.5	10.5	11.5	13.5	7.5	9.5
240	2	29.5	30.5	28.5	28.5	23.5	25.5	27.5	27.5	22.5	21.5
249	2	13.5	13.5	12.5	12.5	8.5	9.5	9.5	11.5	7.5	7.5
