N	q	DEPTOS
22	1	0
28	1	1
33	1	1
56	1	1
66	1	0
71	2	2
72	1	0
95	1	1
96	1	1
105	1	1
134	1	0
184	1	1
243	1	1
250	1	1
283	1	0
298	1	1
303	1	1
309	1	1
330	1	1
332	1	1
347	1	1
378	1	1
404	1	1
409	1	1
449	1	1
471	1	1
494	1	1
510	1	1
523	1	1
539	1	1
558	1	1
570	1	1
612	1	1
663	1	1
696	1	1
702	1	1
709	2	2
720	1	1
722	1	1
759	2	2
775	3	3
791	1	1
795	1	1
816	1	1
837	1	1
914	1	1
915	1	1
925	1	1
929	1	1
931	1	1
947	1	1
969	1	1
1003	1	1
1006	1	1
1020	1	1
1025	1	1
1028	1	1
1046	1	1
1053	1	1
1058	1	1
1072	1	1
1138	1	1
1164	1	1
1180	1	1
1182	1	1
1189	1	1
1203	1	1
1215	1	1
1218	1	1
1223	1	1
1234	3	3
1302	1	1
1306	1	1
1337	1	1
1347	1	1
1348	1	1
1349	1	1
1357	1	1
1386	1	1
1395	1	1
1417	1	1
1452	1	1
1461	1	1
1513	1	1
1537	1	1
1589	1	1
1658	1	1
1687	1	1
1688	1	1
1690	1	1
1703	1	1
1727	1	1
1730	2	2
1746	1	1
1769	2	2
1797	2	2
1818	1	1
1819	5	5
1838	0	0
0	0	0
