N	q	DEPTOS
14	1	1
15	1	1
19	1	1
30	1	1
36	1	1
44	2	0
52	1	0
66	1	0
70	1	1
80	1	1
98	1	1
111	1	0
130	1	1
132	1	1
182	1	1
188	1	0
204	1	0
205	1	0
222	1	1
230	1	1
235	1	1
236	1	0
241	1	0
245	1	1
258	1	1
281	1	1
304	2	0
310	1	1
318	1	1
319	1	1
325	1	0
335	1	1
355	1	1
359	1	1
367	1	1
390	1	1
420	1	1
426	1	1
431	1	1
446	1	1
447	1	1
477	1	1
481	1	1
498	1	1
510	1	1
515	1	1
530	2	2
539	1	1
543	1	1
553	1	1
562	1	1
564	1	1
566	1	1
569	1	1
598	1	1
632	1	1
641	1	1
642	2	2
645	1	1
671	1	1
673	1	0
680	1	1
687	1	1
698	1	1
711	1	1
729	2	0
734	2	2
735	1	0
745	1	0
749	1	0
753	1	0
758	1	1
767	3	0
780	1	1
783	1	1
788	1	1
792	1	1
797	1	1
811	1	1
828	1	1
852	2	2
865	1	1
866	3	3
885	1	1
893	1	1
894	1	1
909	1	1
910	1	1
911	1	1
912	1	1
918	1	1
959	1	1
989	1	1
996	1	1
1000	1	1
1016	1	1
1019	1	1
1022	1	1
1027	1	1
1032	1	1
1033	1	1
1034	1	1
1035	1	1
1049	1	1
1060	1	1
1063	1	1
1076	1	1
1077	1	1
1098	2	2
1103	1	1
1105	1	1
1113	1	1
1127	3	3
1143	1	1
1146	1	1
1165	1	1
1166	1	1
1170	1	1
1178	1	1
1205	1	1
1224	1	1
1248	1	1
1267	1	0
1285	1	1
1292	1	1
1298	1	1
1303	2	2
1331	2	2
1333	1	1
1342	1	1
1345	1	1
1354	1	1
1358	1	1
1362	1	1
1372	1	1
1373	1	1
1405	1	1
1406	1	1
1418	1	1
1445	1	1
1460	1	1
1483	1	1
1505	1	1
1519	1	1
1521	1	1
1527	1	1
1528	1	1
1541	1	1
1543	1	1
1547	1	1
1569	5	5
1578	1	1
1584	1	1
1599	1	1
1600	1	1
1664	1	1
1674	1	1
1675	1	1
1695	1	1
1716	2	2
1723	1	1
1728	3	3
1729	1	1
1731	1	1
1737	1	1
1744	1	1
1751	1	1
1758	1	1
1772	1	1
1775	1	1
1783	1	1
1797	1	1
1801	1	1
1810	1	1
1811	1	1
1814	1	1
1815	1	1
1821	1	1
0	0	0
1838	0	0
