N	q	DEPTOS
196	1	1
197	1	1
199	2	2
202	1	0
203	1	0
216	1	1
218	1	1
225	1	1
234	1	1
246	1	0
271	2	2
276	1	1
283	1	0
289	1	1
290	1	1
297	1	1
298	1	1
308	1	1
311	1	1
334	1	1
353	1	1
358	1	1
359	1	1
367	1	1
381	1	1
386	1	1
389	1	1
396	1	1
404	1	1
411	1	1
412	1	1
434	1	1
442	1	1
443	1	1
462	2	2
473	1	1
475	1	1
479	1	1
480	2	2
487	1	1
505	1	1
506	1	1
514	1	1
516	1	1
534	1	1
544	1	1
546	1	1
551	4	4
580	1	1
589	1	1
595	1	1
623	1	1
639	1	1
648	1	1
660	1	1
677	1	1
702	1	1
703	1	1
725	1	1
733	1	0
739	1	1
741	1	0
742	1	1
757	1	1
769	1	1
771	1	1
772	1	1
779	1	1
780	1	1
786	1	1
799	1	1
807	1	1
829	1	1
835	1	1
841	1	1
845	1	1
858	1	1
859	2	2
860	1	1
863	2	2
869	1	1
890	1	1
891	1	1
892	1	1
899	1	1
902	1	1
903	1	1
904	1	1
905	1	1
906	1	1
909	1	1
913	1	1
919	1	1
924	1	1
930	3	3
941	1	1
946	2	2
960	1	1
962	1	1
968	1	1
978	1	1
987	1	1
1008	2	2
1011	1	1
1018	1	1
1031	1	1
1040	1	1
1043	1	1
1050	1	1
1062	1	1
1088	1	1
1094	1	1
1131	2	2
1140	1	1
1152	2	2
1157	3	3
1168	1	1
1172	1	1
1185	1	1
1186	1	1
1196	1	1
1206	1	1
1220	1	1
1252	1	1
1313	1	1
1315	1	1
1334	1	1
1341	1	1
1363	1	1
1388	1	1
1393	4	4
1407	1	1
1419	1	1
1443	1	1
1457	1	1
1464	1	1
1465	1	1
1471	1	1
1472	1	1
1474	1	1
1485	1	1
1489	1	1
1502	1	1
1503	1	1
1506	1	1
1510	1	1
1524	1	1
1534	1	1
1548	1	1
1552	1	1
1557	1	1
1562	1	1
1566	1	1
1567	1	1
1579	1	1
1586	1	1
1613	1	1
1638	1	1
1639	1	1
1643	1	1
1652	1	1
1655	1	1
1661	1	1
1679	1	1
1705	1	1
1735	1	1
1761	1	0
1768	1	1
1776	1	1
1781	2	2
1784	1	1
1786	1	1
1791	1	1
1807	1	1
1816	1	1
1831	1	1
1833	1	1
1838	0	0
0	0	0
