N	q	DEPTOS
32	1	1
48	1	0
58	1	1
84	1	1
92	1	1
93	1	1
99	1	1
100	1	1
117	1	1
120	1	1
124	1	0
126	1	1
128	1	0
139	1	0
144	1	1
153	1	1
154	1	0
155	1	1
161	1	1
162	1	1
163	1	1
196	1	1
200	1	1
208	1	1
210	1	0
214	1	1
215	1	1
216	1	1
217	1	1
228	1	1
247	1	1
263	1	1
281	1	1
288	1	1
291	1	0
295	1	1
312	1	1
363	1	1
369	1	1
384	1	1
388	1	1
397	2	2
400	1	1
417	2	2
423	1	1
435	1	1
437	1	1
445	1	1
449	1	1
455	1	1
461	1	0
464	1	1
466	1	1
470	1	1
491	1	1
493	1	1
499	1	1
500	2	2
512	1	1
519	1	1
520	1	1
524	1	1
526	1	1
535	1	1
552	1	1
556	1	1
565	1	1
568	1	1
570	2	2
571	1	1
573	1	1
575	1	1
581	1	1
585	1	1
587	1	1
603	1	1
614	1	1
643	1	1
644	6	6
646	1	1
653	1	1
672	1	1
676	1	1
678	1	1
682	1	1
686	1	1
705	2	2
709	1	1
713	1	1
716	1	1
718	1	1
724	2	2
748	1	1
761	1	1
764	1	1
766	1	1
773	1	0
777	1	1
778	1	1
798	1	1
804	1	1
814	1	1
815	1	1
823	1	1
824	1	1
848	1	1
874	1	1
886	1	1
888	4	4
896	1	1
916	1	1
924	1	1
939	1	1
944	1	1
948	1	1
950	2	2
953	1	1
957	1	1
975	1	1
985	1	1
986	1	1
992	1	1
995	1	1
1004	1	1
1012	1	1
1037	1	1
1044	1	1
1051	3	3
1059	1	1
1061	1	1
1064	1	1
1067	1	1
1068	1	1
1078	1	1
1081	1	1
1089	1	1
1093	1	1
1097	1	1
1098	1	1
1104	1	1
1107	3	3
1116	1	1
1126	1	1
1128	1	1
1129	1	1
1136	1	1
1141	1	1
1147	1	1
1171	1	1
1177	1	1
1195	1	1
1219	1	1
1222	1	1
1226	1	1
1237	1	1
1239	1	1
1240	1	1
1245	2	2
1251	1	1
1255	1	1
1265	2	0
1273	1	1
1277	1	1
1293	1	1
1296	1	1
1297	1	1
1299	1	1
1314	1	1
1316	1	1
1322	1	1
1327	1	1
1331	2	2
1339	1	1
1360	1	1
1366	1	1
1369	1	1
1377	1	1
1379	1	1
1380	1	1
1384	1	1
1397	1	1
1403	1	1
1404	1	1
1411	1	1
1412	1	1
1413	1	1
1442	1	1
1444	1	1
1445	2	2
1446	1	1
1453	1	1
1475	1	1
1476	1	1
1488	1	1
1501	1	1
1512	1	1
1538	1	1
1564	1	1
1566	2	2
1568	1	1
1574	4	4
1576	1	1
1597	1	1
1598	1	1
1605	1	1
1608	1	1
1609	1	1
1614	1	1
1665	1	1
1666	1	1
1690	1	1
1691	1	1
1709	1	1
1724	1	1
1725	1	1
1727	1	1
1740	2	2
1741	1	1
1749	1	1
1752	1	1
1753	4	4
1754	1	1
1762	1	1
1767	3	3
1770	1	1
1773	1	1
1778	1	1
1793	1	1
1795	1	1
1798	1	1
1799	1	1
1813	1	1
1820	1	1
1821	1	1
1829	1	1
0	0	0
1838	0	0
