N	D	1	2	3	4	5	6	7	8	9	10
116	1	16	15	15	13	10	10	11	13	8	8
141	1	19	19	17	18	13	12	16	16	12	11
177	1	17	18	15	16	12	11	14	13	8	8
180	1	20	18	18	18	13	12	15	15	10	11
190	1	20	19	17	16	14	14	16	16	12	10
194	1	19	18	16	18	12	14	15	15	12	11
197	1	19	18	17	16	12	12	15	16	11	10
201	1	19	19	18	16	12	14	15	14	12	10
213	1	32	32	31	31	27	26	29	28	25	26
214	1	18	20	18	16	12	12	14	14	10	12
228	1	20	20	16	17	13	13	14	15	11	11
229	1	20	18	17	18	13	14	14	15	10	10
240	1	40	39	38	38	32	33	34	34	30	30
251	1	20	19	18	17	14	12	14	15	11	11
262	1	20	19	18	17	14	14	14	16	10	12
278	1	20	20	16	17	12	13	16	14	12	11
319	1	19	18	17	17	14	14	14	14	11	12
327	1	19	18	18	18	13	13	14	14	10	12
338	1	28	28	28	28	22	22	25	26	21	22
368	1	20	19	16	16	13	13	16	16	10	10
373	1	19	18	16	16	14	13	15	14	10	12
385	1	19	18	18	16	13	12	14	14	12	12
414	1	20	18	18	17	13	14	14	14	11	12
421	1	18	19	16	18	14	14	14	16	11	10
425	1	29	30	27	28	22	23	25	25	21	20
460	1	18	18	16	16	12	12	15	15	12	12
495	1	20	20	18	16	13	13	16	15	10	10
528	1	19	20	17	17	13	12	14	15	12	11
555	1	20	18	17	18	12	12	15	16	10	11
586	1	20	19	16	16	12	13	15	15	12	10
591	1	20	18	18	16	14	12	16	16	11	12
592	1	18	20	18	17	12	12	15	15	12	10
594	1	20	20	17	17	14	14	16	14	12	11
606	1	20	19	18	18	12	14	16	16	12	10
609	1	19	19	18	18	12	12	16	16	10	12
611	1	18	18	18	16	14	14	16	16	12	11
633	1	18	18	16	16	12	12	13	13	9	10
644	1	0	0	0	0	0	0	0	0	0	0
649	1	19	19	18	18	14	14	15	15	10	12
658	1	19	18	16	16	13	13	16	15	11	10
659	1	19	18	16	16	12	14	16	14	12	10
661	1	19	20	16	16	13	12	14	15	12	12
668	1	20	20	18	17	12	14	16	16	12	12
690	1	19	20	17	16	14	14	16	14	11	10
692	1	20	20	16	16	12	13	14	14	11	11
702	1	19	20	16	17	14	12	14	16	12	10
706	1	18	20	17	16	14	14	15	14	10	11
747	1	17	16	15	15	10	10	14	13	9	8
762	1	20	20	18	18	13	12	14	16	11	12
776	1	19	19	17	16	12	14	15	16	10	11
782	1	18	20	16	16	12	14	15	16	10	10
785	1	19	19	16	18	12	12	16	14	12	12
812	1	19	19	18	16	12	14	16	16	11	11
817	1	28	29	26	27	23	24	26	24	20	22
849	1	19	20	17	16	14	12	14	14	11	11
856	1	19	19	17	16	14	13	16	15	12	12
857	1	19	19	18	18	14	13	14	15	11	10
882	1	18	20	17	16	12	13	16	15	10	12
927	1	19	19	18	18	14	12	15	16	11	12
928	1	28	29	28	26	23	23	24	25	22	22
937	1	20	18	16	16	14	13	16	14	12	12
943	1	18	20	17	17	12	14	14	14	11	10
967	1	40	39	37	38	33	32	35	35	30	31
999	1	20	18	16	16	13	14	16	14	12	11
1008	1	19	20	18	16	12	13	14	14	10	12
1011	1	19	19	17	18	14	13	15	14	12	10
1013	1	20	18	18	18	13	14	15	14	12	12
1014	1	18	19	16	16	13	13	16	16	11	10
1020	1	20	18	17	17	12	12	14	15	11	12
1029	1	20	20	17	18	12	14	16	15	11	11
1038	1	20	19	16	18	13	14	14	14	11	10
1043	1	19	19	18	16	14	12	14	14	10	11
1100	1	20	19	16	18	12	14	14	16	10	10
1101	1	19	19	17	18	12	13	14	15	11	11
1130	1	19	18	18	18	14	13	15	15	12	12
1175	1	19	18	16	17	14	12	16	16	10	10
1179	1	19	18	17	17	12	12	15	15	11	12
1247	1	19	18	17	17	14	13	16	14	10	12
1260	1	19	20	18	17	14	13	14	16	12	12
1287	1	18	19	16	17	12	13	14	14	12	10
1305	1	19	19	16	17	14	14	14	15	12	11
1310	1	19	18	16	18	14	13	14	15	11	10
1324	1	20	18	18	17	12	14	14	16	12	11
1332	1	19	19	18	16	13	14	14	14	11	11
1361	1	19	19	16	18	13	13	15	15	11	11
1367	1	20	19	16	18	13	12	14	14	10	11
1420	1	20	18	17	17	14	13	14	16	10	12
1433	1	20	20	17	16	13	14	15	14	10	11
1438	1	19	19	18	18	14	14	14	16	10	12
1456	1	18	19	16	16	13	12	14	14	11	12
1466	1	19	18	18	16	13	14	16	16	10	10
1500	1	18	18	17	18	12	14	15	16	10	11
1515	1	18	20	17	16	12	13	14	14	12	12
1531	1	19	18	18	16	12	13	16	14	12	10
1578	1	19	20	18	17	14	13	16	14	11	10
1588	1	19	20	16	18	14	14	16	15	10	10
1592	1	20	20	16	18	14	13	14	15	11	12
1599	1	38	40	38	38	33	34	35	36	32	32
1628	1	18	19	18	18	13	13	16	16	12	12
1631	1	20	20	16	16	12	14	16	16	10	12
1632	1	18	19	16	17	14	14	15	16	10	12
1635	1	30	28	26	27	22	24	25	25	20	20
1642	1	18	19	18	17	13	12	16	15	10	10
1663	1	18	20	18	18	13	12	15	15	10	10
1678	1	20	20	18	17	14	12	15	15	10	11
1681	1	20	19	17	16	12	13	14	16	11	11
1682	1	19	20	18	16	14	13	14	15	10	10
1684	1	20	20	17	18	12	14	15	14	12	11
1685	1	19	19	17	16	14	13	16	16	10	11
1708	1	18	18	18	17	13	14	16	16	10	10
1718	1	20	20	17	17	14	13	14	15	10	11
1720	1	19	20	16	18	14	14	14	16	11	12
1739	1	26	24	24	22	19	18	22	22	17	17
1746	1	19	19	16	17	14	12	15	15	12	12
1794	1	19	20	17	18	14	13	15	16	11	10
1802	1	18	19	16	16	12	14	14	15	11	10
1806	1	18	18	16	18	12	12	15	16	10	10
116	2	16.5	15.5	15.5	13.5	10.5	10.5	11.5	13.5	8.5	8.5
141	2	19.5	19.5	17.5	18.5	13.5	12.5	16.5	16.5	12.5	11.5
177	2	17.5	18.5	15.5	16.5	12.5	11.5	14.5	13.5	8.5	8.5
180	2	20.5	18.5	18.5	18.5	13.5	12.5	15.5	15.5	10.5	11.5
190	2	20.5	19.5	17.5	16.5	14.5	14.5	16.5	16.5	12.5	10.5
194	2	19.5	18.5	16.5	18.5	12.5	14.5	15.5	15.5	12.5	11.5
197	2	19.5	18.5	17.5	16.5	12.5	12.5	15.5	16.5	11.5	10.5
201	2	19.5	19.5	18.5	16.5	12.5	14.5	15.5	14.5	12.5	10.5
213	2	32.5	32.5	31.5	31.5	27.5	26.5	29.5	28.5	25.5	26.5
214	2	18.5	20.5	18.5	16.5	12.5	12.5	14.5	14.5	10.5	12.5
228	2	20.5	20.5	16.5	17.5	13.5	13.5	14.5	15.5	11.5	11.5
229	2	20.5	18.5	17.5	18.5	13.5	14.5	14.5	15.5	10.5	10.5
240	2	40.5	39.5	38.5	38.5	32.5	33.5	34.5	34.5	30.5	30.5
251	2	20.5	19.5	18.5	17.5	14.5	12.5	14.5	15.5	11.5	11.5
262	2	20.5	19.5	18.5	17.5	14.5	14.5	14.5	16.5	10.5	12.5
278	2	20.5	20.5	16.5	17.5	12.5	13.5	16.5	14.5	12.5	11.5
319	2	19.5	18.5	17.5	17.5	14.5	14.5	14.5	14.5	11.5	12.5
327	2	19.5	18.5	18.5	18.5	13.5	13.5	14.5	14.5	10.5	12.5
338	2	28.5	28.5	28.5	28.5	22.5	22.5	25.5	26.5	21.5	22.5
368	2	20.5	19.5	16.5	16.5	13.5	13.5	16.5	16.5	10.5	10.5
