N	q	DEPTOS
37	1	0
38	1	1
51	1	0
56	1	1
72	1	0
73	1	1
76	1	1
96	1	1
103	1	0
123	1	1
133	1	1
137	1	1
143	1	1
148	1	1
165	1	1
171	1	1
172	1	1
175	1	0
178	1	1
187	1	0
225	1	1
233	1	1
252	2	0
254	1	1
259	1	1
267	1	0
270	1	1
271	2	2
273	2	1
285	3	3
287	2	2
292	1	1
297	1	1
303	1	1
306	1	1
315	1	1
327	1	1
336	1	1
341	1	1
345	1	0
372	4	4
374	1	1
375	1	1
378	1	1
393	1	1
395	1	1
402	1	1
407	1	1
424	2	2
428	1	1
440	1	1
441	1	1
453	1	1
456	1	1
463	1	1
469	1	1
472	1	1
490	1	1
492	1	1
509	1	1
517	1	1
538	1	1
542	1	1
550	1	1
560	1	1
563	1	1
583	1	1
584	1	1
600	1	1
601	1	1
631	1	1
645	1	1
664	1	1
677	1	1
681	1	1
684	1	0
689	1	1
694	1	1
695	1	1
699	1	1
714	1	1
731	1	0
732	2	0
751	1	1
755	1	1
772	1	1
789	1	1
806	1	1
810	1	1
830	1	1
843	1	1
847	1	1
850	1	1
854	1	1
871	1	1
873	1	1
887	1	1
895	1	1
907	1	1
911	1	1
923	1	1
928	1	1
938	1	1
952	1	1
971	1	1
972	1	1
978	1	1
981	1	1
982	1	1
993	2	2
998	1	1
1007	1	1
1008	1	1
1009	1	1
1017	1	1
1021	1	1
1030	1	1
1039	2	2
1080	1	1
1085	1	1
1104	1	1
1110	1	1
1119	1	1
1134	1	1
1137	1	1
1139	2	2
1149	1	1
1152	1	1
1167	1	1
1170	1	1
1183	1	1
1195	1	1
1199	2	2
1202	1	1
1210	1	1
1217	1	1
1235	1	1
1239	1	1
1256	1	1
1271	1	1
1279	1	1
1291	1	1
1294	1	1
1301	1	1
1303	2	2
1312	1	1
1319	1	1
1321	1	1
1326	1	1
1335	1	1
1340	1	1
1351	1	1
1352	1	1
1356	1	1
1379	1	1
1383	2	2
1387	1	1
1392	1	1
1396	1	1
1401	1	1
1410	1	1
1426	1	1
1434	3	3
1437	1	1
1441	1	1
1447	1	1
1449	1	1
1451	1	1
1482	1	1
1503	2	2
1504	1	1
1516	1	1
1536	1	1
1554	1	1
1560	1	1
1571	1	1
1573	2	2
1593	1	1
1598	2	2
1603	1	1
1606	4	4
1621	2	2
1624	1	1
1629	1	1
1636	1	1
1649	1	1
1654	1	1
1664	1	1
1670	1	1
1676	1	1
1693	1	1
1699	1	1
1700	1	1
1701	1	1
1704	1	1
1707	1	1
1713	1	1
1722	1	1
1727	1	1
1758	4	4
1759	1	1
1762	1	1
1771	1	1
1782	1	1
1788	1	1
1790	1	1
1791	2	2
1797	1	1
1805	1	1
1808	1	1
1809	1	1
1823	1	1
1824	1	1
1825	1	1
1837	1	1
0	0	0
1838	0	0
