N	q	DEPTOS
13	1	1
39	1	0
44	2	0
54	1	1
55	1	1
60	1	1
74	1	0
82	1	1
86	1	1
88	1	0
97	1	0
115	1	1
160	1	0
171	1	0
184	1	1
196	1	1
198	1	1
206	1	1
211	1	1
248	1	1
249	1	1
256	1	0
300	1	1
354	1	1
371	1	1
398	1	1
401	1	1
402	1	1
405	1	1
427	1	1
438	1	1
473	1	1
478	3	3
482	1	1
498	1	1
531	1	1
532	1	1
538	3	3
541	1	1
548	1	1
557	1	1
608	1	1
629	1	0
637	1	1
640	1	1
647	2	2
651	1	1
668	1	1
669	1	1
685	1	1
689	1	1
700	1	1
715	1	1
726	1	1
736	1	1
740	1	1
750	1	0
765	1	1
775	1	1
784	1	1
794	1	1
808	3	3
816	1	1
818	1	1
822	1	1
853	1	1
878	1	1
883	1	1
940	2	2
964	1	1
965	1	1
974	1	1
987	1	1
991	1	1
1002	1	1
1056	1	1
1065	2	2
1066	1	1
1075	1	1
1081	1	1
1082	1	1
1111	1	1
1118	1	1
1124	1	1
1133	1	1
1138	1	1
1162	1	0
1184	1	1
1194	1	1
1197	1	1
1204	1	1
1208	1	1
1216	1	1
1225	1	1
1254	1	1
1259	1	1
1262	1	1
1266	1	1
1268	1	0
1270	1	1
1272	1	1
1280	1	1
1295	1	1
1320	1	1
1329	2	2
1390	2	2
1402	2	2
1414	1	1
1425	1	1
1436	1	1
1439	1	1
1443	1	1
1467	1	1
1477	1	1
1497	1	1
1499	1	1
1520	1	1
1540	1	1
1556	1	1
1558	1	1
1575	1	1
1583	1	1
1590	1	1
1599	1	1
1618	1	1
1619	1	1
1620	1	1
1623	1	1
1633	1	1
1639	1	1
1660	1	1
1662	1	1
1667	1	1
1677	1	1
1692	1	1
1695	1	1
1726	1	1
1738	2	2
1743	1	1
1764	1	1
1796	1	1
1804	1	1
1812	2	2
1832	1	1
0	0	0
1838	0	0
