N	q	DEPTOS
116	1	1
141	1	1
177	1	0
180	1	1
190	1	1
194	1	1
197	1	1
201	1	1
213	3	0
214	1	1
228	1	1
229	1	1
240	3	3
251	1	1
262	1	1
278	1	1
319	1	1
327	1	1
338	2	2
368	1	1
373	1	1
385	1	1
414	1	1
421	1	1
425	2	2
460	1	1
495	1	1
528	1	1
555	1	1
586	1	1
591	1	1
592	1	1
594	1	1
606	1	1
609	1	1
611	1	1
633	1	0
644	0	0
649	1	1
658	1	1
659	1	1
661	1	1
668	1	1
690	1	1
692	1	1
702	1	1
706	1	1
747	1	0
762	1	1
776	1	1
782	1	1
785	1	1
812	1	1
817	2	2
849	1	1
856	1	1
857	1	1
882	1	1
927	1	1
928	2	2
937	1	1
943	1	1
967	3	3
999	1	1
1008	1	1
1011	1	1
1013	1	1
1014	1	1
1020	1	1
1029	1	1
1038	1	1
1043	1	1
1100	1	1
1101	1	1
1130	1	1
1175	1	1
1179	1	1
1247	1	1
1260	1	1
1287	1	1
1305	1	1
1310	1	1
1324	1	1
1332	1	1
1361	1	1
1367	1	1
1420	1	1
1433	1	1
1438	1	1
1456	1	1
1466	1	1
1500	1	1
1515	1	1
1531	1	1
1578	1	1
1588	1	1
1592	1	1
1599	3	3
1628	1	1
1631	1	1
1632	1	1
1635	2	2
1642	1	1
1663	1	1
1678	1	1
1681	1	1
1682	1	1
1684	1	1
1685	1	1
1708	1	1
1718	1	1
1720	1	1
1739	2	0
1746	1	1
1794	1	1
1802	1	1
1806	1	1
0	0	0
1838	0	0
