N	D	1	2	3	4	5	6	7	8	9	10
253	1	15	17	14	14	11	11	12	13	7	9
265	1	15	15	14	13	10	9	11	13	9	9
268	1	20	18	17	18	12	14	16	14	12	11
271	1	17	17	15	14	10	11	11	12	8	7
275	1	17	16	15	14	9	9	13	13	7	8
282	1	17	16	14	14	10	11	11	13	9	8
286	1	30	30	27	29	23	23	25	25	22	21
294	1	16	17	15	13	9	11	13	11	7	9
302	1	14	14	13	11	7	7	11	10	6	7
305	1	17	17	15	15	10	9	11	11	7	8
320	1	16	16	14	14	10	11	11	11	7	8
323	1	13	14	13	13	7	7	10	10	6	6
328	1	16	17	14	14	11	10	12	12	9	8
331	1	15	15	13	14	10	11	12	12	9	7
339	1	14	14	11	12	7	7	9	10	7	7
348	1	15	16	15	14	11	9	13	11	8	8
350	1	15	15	14	13	9	9	11	11	9	7
351	1	16	16	14	13	9	11	11	13	7	7
352	1	17	17	13	13	10	11	13	12	9	8
362	1	16	17	14	13	11	11	12	11	8	8
376	1	17	16	15	15	11	9	13	11	7	7
377	1	15	15	13	14	9	9	13	11	8	7
392	1	16	15	13	14	9	10	13	12	9	7
404	1	17	17	14	14	9	10	11	13	8	9
406	1	17	15	13	15	9	10	11	11	9	7
410	1	30	29	27	27	23	24	27	25	21	23
419	1	16	15	15	15	10	9	13	13	7	7
429	1	15	15	13	15	9	9	13	12	7	7
439	1	17	17	15	13	10	11	12	13	8	9
444	1	17	16	15	14	11	9	11	12	7	7
450	1	17	15	15	13	9	11	12	11	8	8
454	1	15	15	15	15	11	10	11	11	7	8
457	1	17	17	14	15	9	9	13	12	7	7
465	1	15	17	13	15	10	9	11	11	7	7
468	1	23	22	21	21	18	17	18	19	16	15
497	1	17	15	15	15	11	9	12	13	8	9
501	1	15	16	13	14	11	9	13	11	9	8
502	1	15	17	14	14	10	11	13	13	7	9
508	1	17	17	14	15	10	9	11	12	9	7
513	1	15	16	14	14	11	9	13	13	8	8
514	1	17	15	14	15	11	10	13	13	9	8
521	1	16	17	13	15	11	10	11	13	9	9
536	1	16	15	15	14	10	10	12	12	8	7
537	1	17	17	13	14	9	10	12	11	9	8
540	1	15	16	15	14	9	9	11	12	7	9
542	1	15	15	15	13	11	11	13	13	9	8
544	1	17	16	14	14	10	9	12	12	8	9
547	1	15	17	15	13	9	10	12	11	7	7
550	1	17	16	15	15	9	10	13	11	7	7
562	1	15	17	13	13	9	9	11	11	7	8
565	1	17	15	15	13	9	9	13	12	8	8
577	1	15	17	14	15	11	11	12	13	7	7
579	1	15	15	14	13	11	9	12	13	7	9
591	1	15	15	14	14	10	11	11	12	8	9
602	1	15	15	14	15	10	11	12	11	8	8
610	1	15	16	13	15	10	11	12	11	8	7
613	1	17	16	15	15	11	9	12	13	7	9
615	1	15	16	15	13	10	9	11	12	7	7
621	1	16	15	14	13	9	11	13	12	7	7
625	1	15	16	14	15	9	11	12	12	8	8
626	1	16	17	13	13	9	9	11	11	8	8
627	1	17	15	14	15	10	11	12	11	9	9
628	1	16	16	14	15	11	9	11	13	8	7
630	1	14	14	11	13	7	9	9	11	7	5
634	1	13	13	12	11	7	8	11	9	6	7
644	1	13	13	12	11	7	8	11	9	6	7
645	1	23	23	22	21	16	17	19	19	16	14
652	1	15	15	14	13	10	10	11	13	7	7
656	1	15	15	13	15	11	9	11	12	9	8
662	1	16	15	13	15	9	11	13	11	9	7
683	1	44	43	42	41	38	38	40	40	35	36
693	1	16	15	13	13	9	11	12	11	7	9
697	1	16	16	14	15	9	11	11	12	7	7
708	1	15	17	14	14	11	10	13	12	9	7
710	1	15	16	13	14	10	10	12	11	8	7
712	1	15	16	13	13	11	11	13	11	9	9
721	1	16	17	14	13	10	9	12	11	8	8
728	1	13	13	12	11	9	9	10	10	5	6
744	1	16	17	14	13	9	9	13	13	9	7
746	1	16	16	13	15	10	10	13	13	7	8
760	1	15	17	15	14	9	11	13	12	9	9
765	1	17	16	13	14	10	9	11	13	8	8
796	1	16	17	13	15	10	9	12	13	8	8
800	1	15	15	12	13	9	8	10	11	5	7
802	1	15	16	13	13	11	9	12	13	9	9
816	1	16	16	15	13	9	11	13	12	7	8
821	1	14	15	13	11	8	8	11	9	5	7
827	1	16	17	13	14	9	11	11	12	9	9
831	1	15	15	13	13	11	9	13	11	9	7
834	1	17	15	15	14	11	10	13	13	8	9
839	1	15	17	13	13	10	10	12	13	9	7
840	1	15	17	13	15	11	9	13	13	8	9
844	1	16	15	14	13	11	11	11	12	7	8
855	1	15	15	15	15	9	9	11	11	7	7
868	1	16	15	15	14	10	10	13	11	7	7
877	1	17	17	13	13	11	11	11	12	9	7
889	1	16	16	13	15	10	9	11	12	8	8
901	1	16	15	15	15	11	9	11	13	8	7
933	1	15	15	14	14	9	10	13	13	7	8
934	1	17	15	14	13	9	11	11	11	8	9
947	1	17	16	15	14	9	9	13	12	9	7
949	1	17	17	14	15	9	9	12	13	7	7
951	1	17	17	15	15	9	9	12	11	8	7
956	1	24	24	22	20	17	16	18	18	16	14
968	1	16	17	13	13	9	11	11	13	9	9
972	1	24	22	20	21	16	17	18	18	15	16
974	1	16	16	13	13	10	10	13	13	9	9
977	1	17	16	15	14	9	11	13	13	7	8
983	1	17	15	13	13	11	9	13	12	9	8
987	1	17	15	15	13	9	10	13	12	7	7
988	1	17	15	15	13	9	11	11	12	8	8
990	1	16	16	15	14	10	10	13	12	7	9
994	1	17	16	15	14	9	11	13	12	8	8
997	1	17	15	13	14	11	10	12	11	8	7
998	1	16	16	13	14	10	10	13	13	9	9
1011	1	15	17	13	15	10	10	13	13	8	9
1041	1	17	17	13	13	9	11	11	11	7	7
1042	1	17	17	14	14	11	9	11	12	9	9
1052	1	17	16	13	14	10	11	13	11	7	8
1068	1	15	17	15	14	11	10	13	13	9	9
1070	1	23	23	20	20	18	17	18	20	14	15
1071	1	16	17	14	13	11	11	12	12	7	8
1074	1	17	15	13	15	9	10	13	11	7	8
1086	1	15	16	13	15	9	9	13	12	7	9
1090	1	17	17	15	13	11	9	12	13	8	7
1096	1	16	16	14	13	9	10	11	12	9	8
1099	1	16	16	14	14	11	9	11	12	7	7
1102	1	15	16	14	15	9	11	13	11	9	9
1106	1	16	16	13	15	11	9	13	12	9	7
1108	1	16	17	14	13	10	10	12	12	7	7
1109	1	15	16	14	14	11	10	13	13	8	9
1121	1	17	17	13	14	9	11	13	11	9	8
1122	1	22	23	22	20	17	16	18	19	16	15
1134	1	16	15	14	13	11	11	12	11	8	8
1142	1	15	15	15	13	11	9	13	11	7	7
1144	1	17	16	15	13	9	10	13	11	8	9
1145	1	16	17	15	14	10	9	11	11	8	7
1148	1	16	15	15	14	9	11	12	13	8	8
1153	1	17	16	14	14	9	9	11	11	9	7
1154	1	17	17	14	15	11	10	12	13	7	9
1158	1	17	16	14	13	11	10	12	12	7	9
1174	1	16	16	14	15	10	11	13	12	9	9
1175	1	16	15	15	15	9	9	13	11	8	7
1187	1	16	16	13	14	11	10	11	12	7	9
1191	1	15	15	13	15	11	9	13	13	7	8
1192	1	17	16	13	14	9	9	12	11	8	7
1193	1	16	15	13	14	9	9	13	13	7	7
1211	1	17	16	15	13	9	9	12	11	8	7
1213	1	16	17	15	14	11	9	13	13	9	8
1229	1	16	17	13	15	11	9	12	12	8	7
1236	1	17	16	15	14	10	10	11	13	8	8
1241	1	16	15	13	13	11	10	13	12	9	7
1242	1	17	17	14	15	10	11	13	11	9	8
1246	1	16	17	13	15	9	11	11	12	7	8
1257	1	16	17	13	15	11	9	12	11	8	9
1269	1	15	17	13	13	10	9	12	11	9	7
1281	1	17	15	14	15	10	10	13	12	8	9
1282	1	15	15	14	13	10	10	12	13	7	8
1288	1	17	17	15	13	9	11	12	11	7	8
1290	1	16	17	13	13	11	11	13	13	8	9
1295	1	15	15	15	13	9	9	13	12	9	8
1307	1	15	17	15	15	11	11	11	11	8	9
1308	1	17	16	15	14	10	11	12	12	7	9
1309	1	15	16	13	13	9	11	12	13	9	7
1319	1	15	16	14	14	11	11	12	13	8	7
1326	1	16	17	13	15	9	11	11	11	7	7
1330	1	16	15	14	13	9	11	11	11	8	9
1332	1	15	15	14	15	10	10	12	11	8	8
1343	1	17	15	15	15	10	9	12	12	7	9
1344	1	17	17	15	13	11	11	13	11	7	9
1346	1	16	16	14	15	9	9	12	13	8	8
1355	1	16	15	15	13	10	9	13	13	8	7
1356	1	15	16	15	15	11	10	13	12	8	9
1371	1	22	24	22	22	18	17	20	18	16	14
1374	1	17	15	13	14	10	10	13	12	9	9
1376	1	15	15	14	14	10	10	11	12	9	8
1400	1	24	22	22	21	18	18	20	18	16	16
1409	1	17	17	13	14	9	11	13	12	8	8
1421	1	23	24	22	21	16	16	18	19	16	15
1422	1	16	16	13	13	9	11	13	12	9	7
1423	1	24	24	20	22	17	18	20	20	15	14
1427	1	17	15	13	14	9	10	12	12	9	8
1428	1	15	17	14	15	9	10	11	12	7	8
1432	1	15	15	13	15	11	10	11	12	8	8
1440	1	15	15	15	13	9	10	11	13	9	9
1445	1	15	16	15	14	9	10	11	11	8	7
1462	1	16	17	13	13	10	11	13	12	8	9
1463	1	17	16	14	15	10	9	11	12	9	9
1468	1	16	16	15	13	11	11	11	13	8	8
1490	1	16	16	15	13	11	10	13	13	7	9
