N	q	DEPTOS
253	1	1
265	1	1
268	2	0
271	1	1
275	1	1
282	1	1
286	3	3
294	1	1
302	1	0
305	1	1
320	1	1
323	1	0
328	1	1
331	1	1
339	1	0
348	1	1
350	1	1
351	1	1
352	1	1
362	1	1
376	1	1
377	1	1
392	1	1
404	1	1
406	1	1
410	3	3
419	1	1
429	1	1
439	1	1
444	1	1
450	1	1
454	1	1
457	1	1
465	1	1
468	2	2
497	1	1
501	1	1
502	1	1
508	1	1
513	1	1
514	1	1
521	1	1
536	1	1
537	1	1
540	1	1
542	1	1
544	1	1
547	1	1
550	1	1
562	1	1
565	1	1
577	1	1
579	1	1
591	1	1
602	1	1
610	1	1
613	1	1
615	1	1
621	1	1
625	1	1
626	1	1
627	1	1
628	1	1
630	1	0
634	1	0
644	2	2
645	2	2
652	1	1
656	1	1
662	1	1
683	7	0
693	1	1
697	1	1
708	1	1
710	1	1
712	1	1
721	1	1
728	1	0
744	1	1
746	1	1
760	1	1
765	1	1
796	1	1
800	1	0
802	1	1
816	1	1
821	1	0
827	1	1
831	1	1
834	1	1
839	1	1
840	1	1
844	1	1
855	1	1
868	1	1
877	1	1
889	1	1
901	1	1
933	1	1
934	1	1
947	1	1
949	1	1
951	1	1
956	2	2
968	1	1
972	2	2
974	1	1
977	1	1
983	1	1
987	1	1
988	1	1
990	1	1
994	1	1
997	1	1
998	1	1
1011	1	1
1041	1	1
1042	1	1
1052	1	1
1068	1	1
1070	2	2
1071	1	1
1074	1	1
1086	1	1
1090	1	1
1096	1	1
1099	1	1
1102	1	1
1106	1	1
1108	1	1
1109	1	1
1121	1	1
1122	2	2
1134	1	1
1142	1	1
1144	1	1
1145	1	1
1148	1	1
1153	1	1
1154	1	1
1158	1	1
1174	1	1
1175	1	1
1187	1	1
1191	1	1
1192	1	1
1193	1	1
1211	1	1
1213	1	1
1229	1	1
1236	1	1
1241	1	1
1242	1	1
1246	1	1
1257	1	1
1269	1	1
1281	1	1
1282	1	1
1288	1	1
1290	1	1
1295	1	1
1307	1	1
1308	1	1
1309	1	1
1319	1	1
1326	1	1
1330	1	1
1332	1	1
1343	1	1
1344	1	1
1346	1	1
1355	1	1
1356	1	1
1371	2	2
1374	1	1
1376	1	1
1400	2	2
1409	1	1
1421	2	2
1422	1	1
1423	2	2
1427	1	1
1428	1	1
1432	1	1
1440	1	1
1445	1	1
1462	1	1
1463	1	1
1468	1	1
1490	1	1
1493	1	1
1494	1	1
1514	1	1
1522	1	1
1526	1	1
1529	1	1
1539	1	1
1546	1	1
1553	1	1
1559	1	1
1561	1	1
1580	1	1
1582	1	1
1585	1	1
1591	1	1
1609	1	1
1611	1	1
1612	3	3
1628	1	1
1637	1	1
1646	1	1
1648	2	2
1650	1	1
1656	1	1
1659	1	1
1664	1	1
1669	1	1
1672	1	1
1673	1	1
1683	1	1
1689	1	1
1696	1	1
1702	1	1
1710	1	1
1711	1	1
1714	1	1
1728	3	3
1745	1	1
1747	1	1
1748	1	1
1750	1	1
1755	1	1
1756	1	1
1757	1	1
1760	2	0
1761	1	0
1763	1	1
1774	1	1
1777	1	1
1787	1	1
1789	1	1
1791	1	1
1792	1	1
1795	1	1
1802	1	1
1803	1	1
1811	1	1
1827	1	1
1828	1	1
1830	1	1
1835	1	1
1838	0	0
0	0	0
