N	q	DEPTOS
20	1	1
27	1	0
46	1	1
49	1	1
50	1	1
53	1	1
60	2	2
63	2	2
77	1	1
82	1	1
91	1	1
95	1	1
102	2	2
107	1	0
127	1	1
129	1	1
131	1	1
141	1	1
145	1	1
152	1	1
173	1	1
184	1	1
189	1	1
195	1	1
212	1	1
232	1	0
257	1	1
260	1	1
261	1	1
264	1	1
269	1	0
277	1	1
279	1	1
284	1	0
293	1	1
307	1	1
313	1	1
314	4	4
321	1	1
329	2	2
333	1	1
337	1	0
344	1	0
347	2	2
380	1	1
382	1	1
387	1	1
394	2	2
408	1	1
413	1	1
416	1	1
427	1	1
430	2	2
432	1	1
451	1	1
464	2	2
469	1	1
476	1	1
488	1	1
495	1	1
511	2	2
525	1	1
529	1	1
533	1	1
544	1	1
550	1	1
564	1	1
567	0	0
574	1	1
607	1	1
613	1	1
618	1	1
624	1	1
670	4	4
679	1	1
695	1	1
719	1	1
743	2	2
774	2	0
787	1	1
805	1	1
817	1	1
832	1	1
836	1	1
842	1	1
859	1	1
864	1	1
872	1	1
879	2	2
884	1	1
898	3	3
917	1	1
932	1	1
942	1	1
946	1	1
954	1	1
963	1	1
984	1	1
998	1	1
1003	1	1
1005	1	1
1023	1	1
1047	2	2
1054	1	1
1065	1	1
1069	1	1
1073	2	2
1079	1	1
1081	1	1
1091	1	1
1125	2	2
1135	1	1
1151	1	1
1156	1	1
1176	1	1
1198	1	1
1221	1	1
1230	1	1
1232	1	1
1238	1	1
1274	1	1
1283	1	1
1286	1	1
1304	1	1
1318	2	2
1328	1	1
1359	1	1
1370	2	2
1375	1	1
1381	1	1
1382	1	1
1385	2	2
1388	1	1
1398	1	1
1399	1	1
1449	1	1
1450	1	1
1454	1	1
1458	1	1
1479	1	1
1484	1	1
1487	1	1
1518	1	1
1530	1	1
1544	1	1
1581	1	1
1595	1	1
1627	1	1
1647	1	1
1650	2	2
1653	1	1
1671	1	1
1680	1	1
1706	2	2
1742	1	1
1774	1	1
1780	1	1
1834	1	1
1838	0	0
0	0	0
