N	D	1	2	3	4	5	6	7	8	9	10
13	1	17	17	15	15	10	9	13	13	7	9
39	1	14	15	13	11	8	7	11	9	7	5
44	1	20	19	17	18	13	12	14	15	10	12
54	1	15	17	14	14	10	11	12	11	9	9
55	1	16	15	13	15	11	10	13	11	8	7
60	1	15	16	13	15	10	10	11	13	8	8
74	1	15	14	12	13	8	9	11	10	6	6
82	1	15	16	15	13	11	11	13	12	8	8
86	1	15	16	15	14	11	11	13	12	9	8
88	1	14	14	12	13	7	8	11	10	7	7
97	1	15	14	12	13	7	7	9	10	5	7
115	1	15	17	14	13	10	9	13	12	9	7
160	1	13	13	11	11	9	9	9	9	5	6
171	1	17	17	13	14	9	9	13	11	8	8
184	1	15	16	13	14	9	11	13	12	9	8
196	1	15	16	13	14	9	11	13	12	9	8
198	1	16	16	14	14	10	9	13	13	9	8
206	1	16	15	14	14	11	10	11	13	7	9
211	1	16	16	15	13	10	9	13	13	9	9
248	1	16	16	14	14	10	11	11	11	8	8
249	1	15	16	15	15	9	11	13	12	8	7
256	1	14	15	11	13	9	7	9	10	5	6
300	1	15	17	13	15	9	11	11	12	9	8
354	1	16	15	15	14	11	11	13	12	7	8
371	1	15	15	14	14	11	10	11	11	8	7
398	1	15	15	15	15	9	11	11	12	9	7
401	1	17	15	14	13	10	10	13	11	7	9
402	1	15	17	14	14	9	11	13	12	7	8
405	1	17	15	14	14	9	10	13	12	8	8
427	1	16	16	14	14	10	11	12	11	8	9
438	1	16	15	13	15	10	11	13	11	8	8
473	1	16	17	13	13	9	11	11	12	8	9
478	1	31	31	29	27	25	23	27	25	23	22
482	1	17	16	13	13	10	10	11	12	8	9
498	1	16	15	15	13	10	9	12	12	9	8
531	1	16	16	15	13	11	9	12	12	8	7
532	1	16	17	13	14	11	11	13	11	7	8
538	1	29	30	28	28	23	24	25	27	22	21
541	1	15	15	14	14	11	11	13	11	8	9
548	1	17	16	15	14	9	10	12	11	7	9
557	1	16	16	15	15	9	11	11	12	8	7
608	1	16	16	13	15	10	9	13	11	9	8
629	1	13	15	13	13	9	7	10	10	5	6
637	1	17	17	15	14	9	10	13	13	7	7
640	1	17	17	13	15	11	9	13	13	8	7
647	1	22	23	22	22	16	18	19	19	16	14
651	1	17	16	13	13	10	11	12	12	7	8
668	1	15	17	14	14	9	11	11	13	9	8
669	1	15	15	14	14	11	9	11	12	7	7
685	1	17	16	15	15	11	10	12	11	9	9
689	1	15	16	14	14	11	9	12	13	7	7
700	1	17	17	13	15	9	9	12	11	9	7
715	1	16	15	15	15	11	10	12	12	8	7
726	1	16	17	15	14	11	9	12	12	8	8
736	1	15	15	15	15	11	10	11	13	8	9
740	1	15	15	15	15	9	11	11	12	9	7
750	1	14	14	12	13	8	8	10	9	6	6
765	1	17	15	15	14	9	9	12	13	9	8
775	1	17	16	14	13	9	9	12	12	7	9
784	1	16	16	13	14	10	11	12	12	8	7
794	1	17	16	13	15	11	10	13	13	7	7
808	1	31	29	29	27	24	23	26	25	21	21
816	1	17	16	15	13	11	11	13	11	9	7
818	1	17	15	15	14	11	11	13	11	9	9
822	1	16	15	13	14	9	11	13	11	7	8
853	1	15	15	13	14	9	9	11	13	9	7
878	1	16	15	13	14	11	11	11	12	9	7
883	1	16	16	14	14	9	9	12	13	9	7
940	1	23	24	22	20	16	16	20	18	15	14
964	1	16	16	14	14	9	10	12	13	9	9
965	1	17	15	15	15	9	9	11	12	9	7
974	1	15	17	15	14	10	11	12	13	7	8
987	1	16	17	14	15	11	9	11	13	7	8
991	1	17	17	13	14	10	11	12	13	9	8
1002	1	17	15	14	14	9	11	12	11	7	7
1056	1	16	16	13	15	10	9	12	13	7	8
1065	1	22	24	22	22	17	18	18	19	16	14
1066	1	17	17	13	14	9	10	13	11	7	8
1075	1	16	17	13	15	9	11	13	13	8	9
1081	1	17	17	14	14	11	9	13	13	8	8
1082	1	17	16	14	15	9	10	12	11	7	9
1111	1	17	15	13	15	10	11	11	12	7	9
1118	1	17	15	15	13	10	10	11	13	8	7
1124	1	16	15	15	14	11	10	12	11	9	7
1133	1	15	17	14	15	11	10	12	13	7	7
1138	1	17	17	14	15	10	9	13	13	7	7
1162	1	15	14	12	12	9	8	10	11	5	7
1184	1	16	16	13	13	11	11	12	11	7	8
1194	1	17	16	14	14	9	11	13	11	7	9
1197	1	17	15	14	15	9	9	12	11	7	9
1204	1	17	15	15	15	11	10	13	11	9	7
1208	1	17	15	15	14	11	11	13	12	9	8
1216	1	16	16	15	15	10	9	11	13	8	7
1225	1	17	17	15	13	11	10	12	11	9	7
1254	1	17	17	14	13	11	11	11	12	9	9
1259	1	17	17	13	13	9	10	12	13	9	8
1262	1	17	16	14	15	9	10	13	12	9	7
1266	1	16	16	14	14	11	11	11	12	8	9
1268	1	14	14	12	13	8	8	11	9	7	6
1270	1	15	15	14	13	10	10	11	12	7	9
1272	1	17	17	14	15	10	9	11	12	8	7
1280	1	16	16	13	13	9	9	11	11	9	9
1295	1	16	15	13	13	11	10	13	12	7	7
1320	1	17	15	15	14	10	11	12	11	7	8
1329	1	22	22	21	20	17	17	19	19	14	16
1390	1	23	22	21	22	17	18	20	19	15	15
1402	1	24	22	22	20	18	16	20	19	14	16
1414	1	15	15	13	14	11	11	11	12	8	7
1425	1	17	15	15	14	10	10	12	11	9	8
