N	D	1	2	3	4	5	6	7	8	9	10
63	1	17	15	15	13	9	11	13	12	7	7
82	1	19	19	16	16	14	13	14	16	10	10
153	1	20	19	17	16	14	14	14	16	10	10
167	1	20	18	17	17	13	13	14	15	11	11
191	1	30	29	26	26	24	22	24	24	20	20
235	1	30	29	26	26	24	22	24	24	20	20
317	1	20	18	16	18	14	14	14	15	12	12
366	1	19	20	16	17	13	13	16	15	11	11
382	1	19	20	18	18	12	14	16	16	12	11
452	1	18	20	16	16	14	14	14	14	10	10
562	1	30	30	27	28	23	23	24	24	20	22
572	1	20	20	16	18	14	14	16	14	11	12
635	1	20	18	18	18	12	12	16	14	10	11
663	1	19	18	18	16	12	12	16	16	10	10
667	1	18	20	17	18	14	14	14	15	12	12
738	1	19	18	18	17	14	13	15	16	12	12
754	1	18	18	17	16	12	14	14	15	10	10
802	1	20	20	18	18	14	13	16	16	12	10
817	1	18	18	16	16	12	14	15	15	10	11
864	1	18	19	17	18	13	12	14	16	12	11
895	1	19	18	18	17	12	14	15	14	10	10
921	1	20	18	16	16	14	14	14	15	12	11
1095	1	19	18	18	18	13	12	15	16	10	11
1117	1	19	18	17	17	14	14	16	15	10	10
1132	1	20	20	18	16	14	13	16	14	12	10
1190	1	18	19	18	16	13	13	16	14	11	12
1276	1	28	28	26	28	24	23	26	25	21	21
1278	1	18	18	17	16	13	13	14	14	10	12
1322	1	19	19	18	18	14	12	15	15	11	12
1455	1	18	19	18	18	13	12	14	15	12	12
1577	1	20	18	16	18	14	12	15	15	12	11
1631	1	18	18	17	16	13	13	16	14	12	10
1658	1	20	20	18	18	12	13	16	14	10	12
1694	1	19	18	17	16	12	12	15	16	12	11
1836	1	19	19	17	17	12	13	14	16	11	10
63	2	17.5	15.5	15.5	13.5	9.5	11.5	13.5	12.5	7.5	7.5
82	2	19.5	19.5	16.5	16.5	14.5	13.5	14.5	16.5	10.5	10.5
153	2	20.5	19.5	17.5	16.5	14.5	14.5	14.5	16.5	10.5	10.5
167	2	20.5	18.5	17.5	17.5	13.5	13.5	14.5	15.5	11.5	11.5
191	2	30.5	29.5	26.5	26.5	24.5	22.5	24.5	24.5	20.5	20.5
235	2	30.5	29.5	26.5	26.5	24.5	22.5	24.5	24.5	20.5	20.5
317	2	20.5	18.5	16.5	18.5	14.5	14.5	14.5	15.5	12.5	12.5
366	2	19.5	20.5	16.5	17.5	13.5	13.5	16.5	15.5	11.5	11.5
382	2	19.5	20.5	18.5	18.5	12.5	14.5	16.5	16.5	12.5	11.5
452	2	18.5	20.5	16.5	16.5	14.5	14.5	14.5	14.5	10.5	10.5
562	2	30.5	30.5	27.5	28.5	23.5	23.5	24.5	24.5	20.5	22.5
572	2	20.5	20.5	16.5	18.5	14.5	14.5	16.5	14.5	11.5	12.5
635	2	20.5	18.5	18.5	18.5	12.5	12.5	16.5	14.5	10.5	11.5
663	2	19.5	18.5	18.5	16.5	12.5	12.5	16.5	16.5	10.5	10.5
667	2	18.5	20.5	17.5	18.5	14.5	14.5	14.5	15.5	12.5	12.5
738	2	19.5	18.5	18.5	17.5	14.5	13.5	15.5	16.5	12.5	12.5
754	2	18.5	18.5	17.5	16.5	12.5	14.5	14.5	15.5	10.5	10.5
802	2	20.5	20.5	18.5	18.5	14.5	13.5	16.5	16.5	12.5	10.5
817	2	18.5	18.5	16.5	16.5	12.5	14.5	15.5	15.5	10.5	11.5
864	2	18.5	19.5	17.5	18.5	13.5	12.5	14.5	16.5	12.5	11.5
895	2	19.5	18.5	18.5	17.5	12.5	14.5	15.5	14.5	10.5	10.5
921	2	20.5	18.5	16.5	16.5	14.5	14.5	14.5	15.5	12.5	11.5
1095	2	19.5	18.5	18.5	18.5	13.5	12.5	15.5	16.5	10.5	11.5
1117	2	19.5	18.5	17.5	17.5	14.5	14.5	16.5	15.5	10.5	10.5
1132	2	20.5	20.5	18.5	16.5	14.5	13.5	16.5	14.5	12.5	10.5
1190	2	18.5	19.5	18.5	16.5	13.5	13.5	16.5	14.5	11.5	12.5
1276	2	28.5	28.5	26.5	28.5	24.5	23.5	26.5	25.5	21.5	21.5
1278	2	18.5	18.5	17.5	16.5	13.5	13.5	14.5	14.5	10.5	12.5
1322	2	19.5	19.5	18.5	18.5	14.5	12.5	15.5	15.5	11.5	12.5
1455	2	18.5	19.5	18.5	18.5	13.5	12.5	14.5	15.5	12.5	12.5
1577	2	20.5	18.5	16.5	18.5	14.5	12.5	15.5	15.5	12.5	11.5
1631	2	18.5	18.5	17.5	16.5	13.5	13.5	16.5	14.5	12.5	10.5
1658	2	20.5	20.5	18.5	18.5	12.5	13.5	16.5	14.5	10.5	12.5
1694	2	19.5	18.5	17.5	16.5	12.5	12.5	15.5	16.5	12.5	11.5
1836	2	19.5	19.5	17.5	17.5	12.5	13.5	14.5	16.5	11.5	10.5
63	3	18	16	16	14	10	12	14	13	8	8
82	3	20	20	17	17	15	14	15	17	11	11
153	3	21	20	18	17	15	15	15	17	11	11
167	3	21	19	18	18	14	14	15	16	12	12
191	3	31	30	27	27	25	23	25	25	21	21
235	3	31	30	27	27	25	23	25	25	21	21
317	3	21	19	17	19	15	15	15	16	13	13
366	3	20	21	17	18	14	14	17	16	12	12
382	3	20	21	19	19	13	15	17	17	13	12
452	3	19	21	17	17	15	15	15	15	11	11
562	3	31	31	28	29	24	24	25	25	21	23
572	3	21	21	17	19	15	15	17	15	12	13
635	3	21	19	19	19	13	13	17	15	11	12
663	3	20	19	19	17	13	13	17	17	11	11
667	3	19	21	18	19	15	15	15	16	13	13
738	3	20	19	19	18	15	14	16	17	13	13
754	3	19	19	18	17	13	15	15	16	11	11
802	3	21	21	19	19	15	14	17	17	13	11
817	3	19	19	17	17	13	15	16	16	11	12
864	3	19	20	18	19	14	13	15	17	13	12
895	3	20	19	19	18	13	15	16	15	11	11
921	3	21	19	17	17	15	15	15	16	13	12
1095	3	20	19	19	19	14	13	16	17	11	12
1117	3	20	19	18	18	15	15	17	16	11	11
1132	3	21	21	19	17	15	14	17	15	13	11
1190	3	19	20	19	17	14	14	17	15	12	13
1276	3	29	29	27	29	25	24	27	26	22	22
1278	3	19	19	18	17	14	14	15	15	11	13
1322	3	20	20	19	19	15	13	16	16	12	13
1455	3	19	20	19	19	14	13	15	16	13	13
1577	3	21	19	17	19	15	13	16	16	13	12
1631	3	19	19	18	17	14	14	17	15	13	11
1658	3	21	21	19	19	13	14	17	15	11	13
1694	3	20	19	18	17	13	13	16	17	13	12
1836	3	20	20	18	18	13	14	15	17	12	11
63	4	18.5	16.5	16.5	14.5	10.5	12.5	14.5	13.5	8.5	8.5
82	4	20.5	20.5	17.5	17.5	15.5	14.5	15.5	17.5	11.5	11.5
153	4	21.5	20.5	18.5	17.5	15.5	15.5	15.5	17.5	11.5	11.5
167	4	21.5	19.5	18.5	18.5	14.5	14.5	15.5	16.5	12.5	12.5
191	4	31.5	30.5	27.5	27.5	25.5	23.5	25.5	25.5	21.5	21.5
235	4	31.5	30.5	27.5	27.5	25.5	23.5	25.5	25.5	21.5	21.5
317	4	21.5	19.5	17.5	19.5	15.5	15.5	15.5	16.5	13.5	13.5
366	4	20.5	21.5	17.5	18.5	14.5	14.5	17.5	16.5	12.5	12.5
382	4	20.5	21.5	19.5	19.5	13.5	15.5	17.5	17.5	13.5	12.5
452	4	19.5	21.5	17.5	17.5	15.5	15.5	15.5	15.5	11.5	11.5
562	4	31.5	31.5	28.5	29.5	24.5	24.5	25.5	25.5	21.5	23.5
572	4	21.5	21.5	17.5	19.5	15.5	15.5	17.5	15.5	12.5	13.5
635	4	21.5	19.5	19.5	19.5	13.5	13.5	17.5	15.5	11.5	12.5
