N	q	DEPTOS
18	1	1
19	1	1
55	1	1
67	1	1
79	1	0
82	1	1
102	1	1
104	1	1
106	1	0
111	1	0
119	1	1
142	1	1
157	1	1
158	1	0
177	1	0
186	1	1
207	1	1
219	1	0
227	1	1
235	1	1
238	1	1
239	1	1
242	1	1
255	1	0
274	2	1
280	3	3
315	7	7
342	1	1
349	1	1
356	1	1
357	1	1
364	1	1
365	1	1
373	1	1
378	2	2
379	1	1
391	1	1
399	2	2
402	1	1
433	1	1
458	3	3
467	1	1
489	1	1
504	1	1
507	1	1
546	1	1
549	1	1
559	1	1
578	1	1
590	1	1
597	3	3
601	1	1
604	2	2
619	1	1
622	1	1
638	1	1
650	1	1
655	1	1
657	1	1
664	2	2
665	1	1
667	3	3
674	1	1
686	1	1
691	1	1
694	1	1
704	1	1
707	1	1
710	1	1
727	1	1
770	1	1
788	1	1
790	2	2
793	1	1
803	1	1
816	1	1
818	1	1
819	1	0
820	1	1
825	1	1
826	1	1
838	1	1
851	1	1
867	1	1
870	1	1
876	1	0
881	1	1
897	1	1
906	1	1
920	2	2
928	1	1
955	3	3
958	1	1
961	1	1
979	1	1
1013	1	1
1015	1	1
1024	1	1
1036	1	1
1050	1	1
1084	1	1
1092	1	1
1112	2	2
1114	1	1
1115	1	1
1120	1	1
1123	1	1
1143	1	1
1155	1	1
1162	1	0
1209	1	1
1214	1	1
1228	1	1
1231	1	1
1249	5	5
1261	1	1
1263	1	1
1264	1	1
1275	1	1
1311	1	1
1317	1	1
1323	1	1
1325	1	1
1336	1	1
1338	1	1
1341	1	1
1350	1	1
1352	1	1
1358	1	1
1364	1	1
1368	1	1
1384	1	1
1408	1	1
1424	1	1
1440	1	1
1449	1	1
1459	1	1
1469	1	1
1470	1	1
1473	1	1
1478	1	1
1481	1	1
1486	1	1
1491	1	1
1492	1	1
1496	1	1
1498	1	1
1507	1	1
1509	1	1
1517	1	1
1523	1	1
1532	1	1
1535	1	1
1542	1	1
1545	1	1
1549	1	1
1551	2	2
1563	1	1
1587	1	1
1591	1	1
1596	1	1
1610	1	1
1616	1	1
1617	1	1
1626	1	1
1628	1	1
1640	1	1
1641	1	1
1651	1	1
1657	1	1
1686	2	2
1688	2	2
1696	1	1
1697	1	1
1712	1	1
1721	2	2
1736	1	1
1746	1	1
1779	1	1
1795	1	1
1805	1	1
1811	1	1
1817	1	1
1826	1	1
1837	1	1
0	0	0
1838	0	0
